dataset,version,library,threads,time
./data/belgium_osm.mtx,v3,openmp,1,0.038720
./data/belgium_osm.mtx,v4,openmp,1,0.065642
./data/belgium_osm.mtx,v3,openmp,2,0.041931
./data/belgium_osm.mtx,v4,openmp,2,0.065567
./data/belgium_osm.mtx,v3,openmp,4,0.040839
./data/belgium_osm.mtx,v4,openmp,4,0.048844
./data/belgium_osm.mtx,v3,openmp,8,0.033137
./data/belgium_osm.mtx,v4,openmp,8,0.039172
./data/belgium_osm.mtx,v3,openmp,16,0.032909
./data/belgium_osm.mtx,v4,openmp,16,0.038066
./data/belgium_osm.mtx,v3,openmp,20,0.032681
./data/belgium_osm.mtx,v4,openmp,20,0.038865
./data/com-Youtube.mtx,v3,openmp,1,6.923062
./data/com-Youtube.mtx,v4,openmp,1,3.909669
./data/com-Youtube.mtx,v3,openmp,2,3.435654
./data/com-Youtube.mtx,v4,openmp,2,1.964777
./data/com-Youtube.mtx,v3,openmp,4,1.766627
./data/com-Youtube.mtx,v4,openmp,4,1.004672
./data/com-Youtube.mtx,v3,openmp,8,1.939058
./data/com-Youtube.mtx,v4,openmp,8,0.820678
./data/com-Youtube.mtx,v3,openmp,16,2.155163
./data/com-Youtube.mtx,v4,openmp,16,0.957312
./data/com-Youtube.mtx,v3,openmp,20,2.280279
./data/com-Youtube.mtx,v4,openmp,20,0.960254
./data/mycielskian13.mtx,v3,openmp,1,2.319330
./data/mycielskian13.mtx,v4,openmp,1,1.111294
./data/mycielskian13.mtx,v3,openmp,2,1.162487
./data/mycielskian13.mtx,v4,openmp,2,0.536658
./data/mycielskian13.mtx,v3,openmp,4,0.605643
./data/mycielskian13.mtx,v4,openmp,4,0.270725
./data/mycielskian13.mtx,v3,openmp,8,0.466809
./data/mycielskian13.mtx,v4,openmp,8,0.235948
./data/mycielskian13.mtx,v3,openmp,16,0.481668
./data/mycielskian13.mtx,v4,openmp,16,0.237201
./data/mycielskian13.mtx,v3,openmp,20,0.468556
./data/mycielskian13.mtx,v4,openmp,20,0.246034
./data/dblp-2010.mtx,v3,openmp,1,0.103918
./data/dblp-2010.mtx,v4,openmp,1,0.107266
./data/dblp-2010.mtx,v3,openmp,2,0.062535
./data/dblp-2010.mtx,v4,openmp,2,0.065716
./data/dblp-2010.mtx,v3,openmp,4,0.037624
./data/dblp-2010.mtx,v4,openmp,4,0.040884
./data/dblp-2010.mtx,v3,openmp,8,0.027083
./data/dblp-2010.mtx,v4,openmp,8,0.032433
./data/dblp-2010.mtx,v3,openmp,16,0.026779
./data/dblp-2010.mtx,v4,openmp,16,0.032323
./data/dblp-2010.mtx,v3,openmp,20,0.027657
./data/dblp-2010.mtx,v4,openmp,20,0.032850
./data/NACA0015.mtx,v3,openmp,1,0.324141
./data/NACA0015.mtx,v4,openmp,1,0.502578
./data/NACA0015.mtx,v3,openmp,2,0.191056
./data/NACA0015.mtx,v4,openmp,2,0.280879
./data/NACA0015.mtx,v3,openmp,4,0.110747
./data/NACA0015.mtx,v4,openmp,4,0.192681
./data/NACA0015.mtx,v3,openmp,8,0.071199
./data/NACA0015.mtx,v4,openmp,8,0.115911
