dataset,version,library,threads,time
./data/belgium_osm.mtx,v3,openmp,1,0.046085
./data/belgium_osm.mtx,v4,openmp,1,0.063711
./data/belgium_osm.mtx,v3,openmp,2,0.137984
./data/belgium_osm.mtx,v4,openmp,2,0.188434
./data/belgium_osm.mtx,v3,openmp,4,0.144765
./data/belgium_osm.mtx,v4,openmp,4,0.186902
./data/belgium_osm.mtx,v3,openmp,8,0.147764
./data/belgium_osm.mtx,v4,openmp,8,0.171022
./data/belgium_osm.mtx,v3,openmp,16,0.131609
./data/belgium_osm.mtx,v4,openmp,16,0.141787
./data/belgium_osm.mtx,v3,openmp,20,0.133860
./data/belgium_osm.mtx,v4,openmp,20,0.135464
./data/com-Youtube.mtx,v3,openmp,1,10.659863
./data/com-Youtube.mtx,v4,openmp,1,5.806609
./data/com-Youtube.mtx,v3,openmp,2,5.349572
./data/com-Youtube.mtx,v4,openmp,2,3.103655
./data/com-Youtube.mtx,v3,openmp,4,2.742136
./data/com-Youtube.mtx,v4,openmp,4,1.637213
./data/com-Youtube.mtx,v3,openmp,8,2.322181
./data/com-Youtube.mtx,v4,openmp,8,0.973959
./data/com-Youtube.mtx,v3,openmp,16,2.242155
./data/com-Youtube.mtx,v4,openmp,16,0.739559
./data/com-Youtube.mtx,v3,openmp,20,2.211950
./data/com-Youtube.mtx,v4,openmp,20,0.707206
./data/mycielskian13.mtx,v3,openmp,1,3.458367
./data/mycielskian13.mtx,v4,openmp,1,1.706218
./data/mycielskian13.mtx,v3,openmp,2,1.770589
./data/mycielskian13.mtx,v4,openmp,2,0.785348
./data/mycielskian13.mtx,v3,openmp,4,0.928793
./data/mycielskian13.mtx,v4,openmp,4,0.397860
./data/mycielskian13.mtx,v3,openmp,8,0.527402
./data/mycielskian13.mtx,v4,openmp,8,0.222917
./data/mycielskian13.mtx,v3,openmp,16,0.315454
./data/mycielskian13.mtx,v4,openmp,16,0.132829
./data/mycielskian13.mtx,v3,openmp,20,0.257445
./data/mycielskian13.mtx,v4,openmp,20,0.108335
./data/dblp-2010.mtx,v3,openmp,1,0.203936
./data/dblp-2010.mtx,v4,openmp,1,0.187079
./data/dblp-2010.mtx,v3,openmp,2,0.142960
./data/dblp-2010.mtx,v4,openmp,2,0.162954
./data/dblp-2010.mtx,v3,openmp,4,0.124474
./data/dblp-2010.mtx,v4,openmp,4,0.115193
./data/dblp-2010.mtx,v3,openmp,8,0.093510
./data/dblp-2010.mtx,v4,openmp,8,0.089779
./data/dblp-2010.mtx,v3,openmp,16,0.065554
./data/dblp-2010.mtx,v4,openmp,16,0.067831
./data/dblp-2010.mtx,v3,openmp,20,0.060288
./data/dblp-2010.mtx,v4,openmp,20,0.061331
./data/NACA0015.mtx,v3,openmp,1,0.357222
./data/NACA0015.mtx,v4,openmp,1,0.582264
./data/NACA0015.mtx,v3,openmp,2,0.335420
./data/NACA0015.mtx,v4,openmp,2,0.544007
./data/NACA0015.mtx,v3,openmp,4,0.264452
./data/NACA0015.mtx,v4,openmp,4,0.416592
./data/NACA0015.mtx,v3,openmp,8,0.215340
./data/NACA0015.mtx,v4,openmp,8,0.330840
./data/NACA0015.mtx,v3,openmp,16,0.163626
./data/NACA0015.mtx,v4,openmp,16,0.243983
./data/NACA0015.mtx,v3,openmp,20,0.148297
./data/NACA0015.mtx,v4,openmp,20,0.218551
./data/belgium_osm.mtx,v3,openmp,1,0.046382
./data/belgium_osm.mtx,v4,openmp,1,0.110621
./data/belgium_osm.mtx,v3,openmp,2,0.135561
./data/belgium_osm.mtx,v4,openmp,2,0.189741
./data/belgium_osm.mtx,v3,openmp,4,0.133324
./data/belgium_osm.mtx,v4,openmp,4,0.187457
./data/belgium_osm.mtx,v3,openmp,8,0.138678
./data/belgium_osm.mtx,v4,openmp,8,0.161866
./data/belgium_osm.mtx,v3,openmp,16,0.131738
./data/belgium_osm.mtx,v4,openmp,16,0.140926
./data/belgium_osm.mtx,v3,openmp,20,0.137991
./data/belgium_osm.mtx,v4,openmp,20,0.143203
./data/com-Youtube.mtx,v3,openmp,1,10.679418
./data/com-Youtube.mtx,v4,openmp,1,5.813069
./data/com-Youtube.mtx,v3,openmp,2,5.340648
./data/com-Youtube.mtx,v4,openmp,2,3.026999
./data/com-Youtube.mtx,v3,openmp,4,2.707795
./data/com-Youtube.mtx,v4,openmp,4,1.601002
./data/com-Youtube.mtx,v3,openmp,8,2.367536
./data/com-Youtube.mtx,v4,openmp,8,0.969682
./data/com-Youtube.mtx,v3,openmp,16,2.241429
./data/com-Youtube.mtx,v4,openmp,16,0.744962
./data/com-Youtube.mtx,v3,openmp,20,2.214059
./data/com-Youtube.mtx,v4,openmp,20,0.720007
./data/mycielskian13.mtx,v3,openmp,1,3.451217
./data/mycielskian13.mtx,v4,openmp,1,1.646234
./data/mycielskian13.mtx,v3,openmp,2,1.767491
./data/mycielskian13.mtx,v4,openmp,2,0.787018
./data/mycielskian13.mtx,v3,openmp,4,0.934509
./data/mycielskian13.mtx,v4,openmp,4,0.399365
./data/mycielskian13.mtx,v3,openmp,8,0.534044
./data/mycielskian13.mtx,v4,openmp,8,0.226024
./data/mycielskian13.mtx,v3,openmp,16,0.316082
./data/mycielskian13.mtx,v4,openmp,16,0.133292
./data/mycielskian13.mtx,v3,openmp,20,0.258884
./data/mycielskian13.mtx,v4,openmp,20,0.108879
./data/dblp-2010.mtx,v3,openmp,1,0.152718
./data/dblp-2010.mtx,v4,openmp,1,0.143959
./data/dblp-2010.mtx,v3,openmp,2,0.145397
./data/dblp-2010.mtx,v4,openmp,2,0.141760
./data/dblp-2010.mtx,v3,openmp,4,0.111571
./data/dblp-2010.mtx,v4,openmp,4,0.117941
./data/dblp-2010.mtx,v3,openmp,8,0.087662
./data/dblp-2010.mtx,v4,openmp,8,0.090253
./data/dblp-2010.mtx,v3,openmp,16,0.065914
./data/dblp-2010.mtx,v4,openmp,16,0.067280
./data/dblp-2010.mtx,v3,openmp,20,0.062080
./data/dblp-2010.mtx,v4,openmp,20,0.060829
./data/NACA0015.mtx,v3,openmp,1,0.355731
./data/NACA0015.mtx,v4,openmp,1,0.537693
./data/NACA0015.mtx,v3,openmp,2,0.334383
./data/NACA0015.mtx,v4,openmp,2,0.524166
./data/NACA0015.mtx,v3,openmp,4,0.270043
./data/NACA0015.mtx,v4,openmp,4,0.406723
./data/NACA0015.mtx,v3,openmp,8,0.209892
./data/NACA0015.mtx,v4,openmp,8,0.341286
./data/NACA0015.mtx,v3,openmp,16,0.164028
./data/NACA0015.mtx,v4,openmp,16,0.243724
./data/NACA0015.mtx,v3,openmp,20,0.147764
./data/NACA0015.mtx,v4,openmp,20,0.218365
./data/belgium_osm.mtx,v3,openmp,1,0.046408
./data/belgium_osm.mtx,v4,openmp,1,0.063550
./data/belgium_osm.mtx,v3,openmp,2,0.131847
./data/belgium_osm.mtx,v4,openmp,2,0.196558
./data/belgium_osm.mtx,v3,openmp,4,0.149618
./data/belgium_osm.mtx,v4,openmp,4,0.191468
./data/belgium_osm.mtx,v3,openmp,8,0.142482
./data/belgium_osm.mtx,v4,openmp,8,0.164419
./data/belgium_osm.mtx,v3,openmp,16,0.132137
./data/belgium_osm.mtx,v4,openmp,16,0.141238
./data/belgium_osm.mtx,v3,openmp,20,0.137463
./data/belgium_osm.mtx,v4,openmp,20,0.142137
./data/com-Youtube.mtx,v3,openmp,1,10.592054
./data/com-Youtube.mtx,v4,openmp,1,5.814063
./data/com-Youtube.mtx,v3,openmp,2,5.356258
./data/com-Youtube.mtx,v4,openmp,2,3.084822
./data/com-Youtube.mtx,v3,openmp,4,2.779493
./data/com-Youtube.mtx,v4,openmp,4,1.630946
./data/com-Youtube.mtx,v3,openmp,8,2.304406
./data/com-Youtube.mtx,v4,openmp,8,0.968437
./data/com-Youtube.mtx,v3,openmp,16,2.242531
./data/com-Youtube.mtx,v4,openmp,16,0.744403
./data/com-Youtube.mtx,v3,openmp,20,2.229021
./data/com-Youtube.mtx,v4,openmp,20,0.718767
./data/mycielskian13.mtx,v3,openmp,1,3.452136
./data/mycielskian13.mtx,v4,openmp,1,1.629471
./data/mycielskian13.mtx,v3,openmp,2,1.794891
./data/mycielskian13.mtx,v4,openmp,2,0.801015
./data/mycielskian13.mtx,v3,openmp,4,0.926552
./data/mycielskian13.mtx,v4,openmp,4,0.398096
./data/mycielskian13.mtx,v3,openmp,8,0.522534
./data/mycielskian13.mtx,v4,openmp,8,0.222698
./data/mycielskian13.mtx,v3,openmp,16,0.315938
./data/mycielskian13.mtx,v4,openmp,16,0.133813
./data/mycielskian13.mtx,v3,openmp,20,0.257492
./data/mycielskian13.mtx,v4,openmp,20,0.108385
./data/dblp-2010.mtx,v3,openmp,1,0.152886
./data/dblp-2010.mtx,v4,openmp,1,0.141358
./data/dblp-2010.mtx,v3,openmp,2,0.161690
./data/dblp-2010.mtx,v4,openmp,2,0.141009
./data/dblp-2010.mtx,v3,openmp,4,0.124932
./data/dblp-2010.mtx,v4,openmp,4,0.110345
./data/dblp-2010.mtx,v3,openmp,8,0.088825
./data/dblp-2010.mtx,v4,openmp,8,0.088934
./data/dblp-2010.mtx,v3,openmp,16,0.065752
./data/dblp-2010.mtx,v4,openmp,16,0.067043
./data/dblp-2010.mtx,v3,openmp,20,0.064101
./data/dblp-2010.mtx,v4,openmp,20,0.063034
./data/NACA0015.mtx,v3,openmp,1,0.358128
./data/NACA0015.mtx,v4,openmp,1,0.538395
./data/NACA0015.mtx,v3,openmp,2,0.335362
./data/NACA0015.mtx,v4,openmp,2,0.523883
./data/NACA0015.mtx,v3,openmp,4,0.263661
./data/NACA0015.mtx,v4,openmp,4,0.408188
./data/NACA0015.mtx,v3,openmp,8,0.216349
./data/NACA0015.mtx,v4,openmp,8,0.331124
./data/NACA0015.mtx,v3,openmp,16,0.160096
./data/NACA0015.mtx,v4,openmp,16,0.241808
./data/NACA0015.mtx,v3,openmp,20,0.150103
./data/NACA0015.mtx,v4,openmp,20,0.218542
./data/belgium_osm.mtx,v3,openmp,1,0.085032
./data/belgium_osm.mtx,v4,openmp,1,0.070880
./data/belgium_osm.mtx,v3,openmp,2,0.136277
./data/belgium_osm.mtx,v4,openmp,2,0.196957
./data/belgium_osm.mtx,v3,openmp,4,0.140366
./data/belgium_osm.mtx,v4,openmp,4,0.190466
./data/belgium_osm.mtx,v3,openmp,8,0.146375
./data/belgium_osm.mtx,v4,openmp,8,0.170802
./data/belgium_osm.mtx,v3,openmp,16,0.133015
./data/belgium_osm.mtx,v4,openmp,16,0.141422
./data/belgium_osm.mtx,v3,openmp,20,0.137450
./data/belgium_osm.mtx,v4,openmp,20,0.143132
./data/com-Youtube.mtx,v3,openmp,1,10.733447
./data/com-Youtube.mtx,v4,openmp,1,5.851323
./data/com-Youtube.mtx,v3,openmp,2,5.339220
./data/com-Youtube.mtx,v4,openmp,2,3.030094
./data/com-Youtube.mtx,v3,openmp,4,2.705245
./data/com-Youtube.mtx,v4,openmp,4,1.596181
./data/com-Youtube.mtx,v3,openmp,8,2.369235
./data/com-Youtube.mtx,v4,openmp,8,0.976159
./data/com-Youtube.mtx,v3,openmp,16,2.249968
./data/com-Youtube.mtx,v4,openmp,16,0.747234
./data/com-Youtube.mtx,v3,openmp,20,2.190236
./data/com-Youtube.mtx,v4,openmp,20,0.718682
./data/mycielskian13.mtx,v3,openmp,1,3.514900
./data/mycielskian13.mtx,v4,openmp,1,1.659230
./data/mycielskian13.mtx,v3,openmp,2,1.810587
./data/mycielskian13.mtx,v4,openmp,2,0.803488
./data/mycielskian13.mtx,v3,openmp,4,0.913156
./data/mycielskian13.mtx,v4,openmp,4,0.415710
./data/mycielskian13.mtx,v3,openmp,8,0.525962
./data/mycielskian13.mtx,v4,openmp,8,0.228717
./data/mycielskian13.mtx,v3,openmp,16,0.312732
./data/mycielskian13.mtx,v4,openmp,16,0.134103
./data/mycielskian13.mtx,v3,openmp,20,0.259179
./data/mycielskian13.mtx,v4,openmp,20,0.109073
./data/dblp-2010.mtx,v3,openmp,1,0.152338
./data/dblp-2010.mtx,v4,openmp,1,0.141465
./data/dblp-2010.mtx,v3,openmp,2,0.160857
./data/dblp-2010.mtx,v4,openmp,2,0.141397
./data/dblp-2010.mtx,v3,openmp,4,0.115582
./data/dblp-2010.mtx,v4,openmp,4,0.118117
./data/dblp-2010.mtx,v3,openmp,8,0.089868
./data/dblp-2010.mtx,v4,openmp,8,0.087462
./data/dblp-2010.mtx,v3,openmp,16,0.066987
./data/dblp-2010.mtx,v4,openmp,16,0.067330
./data/dblp-2010.mtx,v3,openmp,20,0.059231
./data/dblp-2010.mtx,v4,openmp,20,0.060628
./data/NACA0015.mtx,v3,openmp,1,0.403961
./data/NACA0015.mtx,v4,openmp,1,0.539100
./data/NACA0015.mtx,v3,openmp,2,0.336635
./data/NACA0015.mtx,v4,openmp,2,0.528445
./data/NACA0015.mtx,v3,openmp,4,0.270906
./data/NACA0015.mtx,v4,openmp,4,0.406891
