dataset,version,library,threads,time
./data/belgium_osm.mtx,v3,openmp,2,0.043133
./data/belgium_osm.mtx,v4,openmp,2,0.066136
./data/belgium_osm.mtx,v3,openmp,4,0.043430
./data/belgium_osm.mtx,v4,openmp,4,0.049812
./data/com-Youtube.mtx,v3,openmp,2,3.412994
./data/com-Youtube.mtx,v4,openmp,2,1.962310
./data/com-Youtube.mtx,v3,openmp,4,1.747148
./data/com-Youtube.mtx,v4,openmp,4,0.986876
./data/mycielskian13.mtx,v3,openmp,2,1.153581
./data/mycielskian13.mtx,v4,openmp,2,0.541026
./data/mycielskian13.mtx,v3,openmp,4,0.590414
./data/mycielskian13.mtx,v4,openmp,4,0.274919
./data/dblp-2010.mtx,v3,openmp,2,0.061663
./data/dblp-2010.mtx,v4,openmp,2,0.065533
./data/dblp-2010.mtx,v3,openmp,4,0.039318
./data/dblp-2010.mtx,v4,openmp,4,0.043783
./data/NACA0015.mtx,v3,openmp,2,0.189267
./data/NACA0015.mtx,v4,openmp,2,0.290649
./data/NACA0015.mtx,v3,openmp,4,0.113366
./data/NACA0015.mtx,v4,openmp,4,0.170436
./data/belgium_osm.mtx,v3,openmp,2,0.043520
./data/belgium_osm.mtx,v4,openmp,2,0.064938
./data/belgium_osm.mtx,v3,openmp,4,0.040793
./data/belgium_osm.mtx,v4,openmp,4,0.049300
./data/com-Youtube.mtx,v3,openmp,2,3.427719
./data/com-Youtube.mtx,v4,openmp,2,1.964301
./data/com-Youtube.mtx,v3,openmp,4,1.733375
./data/com-Youtube.mtx,v4,openmp,4,0.985459
./data/mycielskian13.mtx,v3,openmp,2,1.157740
./data/mycielskian13.mtx,v4,openmp,2,0.540266
./data/mycielskian13.mtx,v3,openmp,4,0.605009
./data/mycielskian13.mtx,v4,openmp,4,0.272892
./data/dblp-2010.mtx,v3,openmp,2,0.061853
./data/dblp-2010.mtx,v4,openmp,2,0.065088
./data/dblp-2010.mtx,v3,openmp,4,0.040803
./data/dblp-2010.mtx,v4,openmp,4,0.042681
./data/NACA0015.mtx,v3,openmp,2,0.200469
./data/NACA0015.mtx,v4,openmp,2,0.291238
./data/NACA0015.mtx,v3,openmp,4,0.111278
./data/NACA0015.mtx,v4,openmp,4,0.170681
./data/belgium_osm.mtx,v3,openmp,2,0.042908
./data/belgium_osm.mtx,v4,openmp,2,0.066229
./data/belgium_osm.mtx,v3,openmp,4,0.037232
./data/belgium_osm.mtx,v4,openmp,4,0.046477
./data/com-Youtube.mtx,v3,openmp,2,3.463524
./data/com-Youtube.mtx,v4,openmp,2,1.955584
./data/com-Youtube.mtx,v3,openmp,4,1.722815
./data/com-Youtube.mtx,v4,openmp,4,1.000877
./data/mycielskian13.mtx,v3,openmp,2,1.152980
./data/mycielskian13.mtx,v4,openmp,2,0.532489
./data/mycielskian13.mtx,v3,openmp,4,0.579537
./data/mycielskian13.mtx,v4,openmp,4,0.270548
./data/dblp-2010.mtx,v3,openmp,2,0.062007
./data/dblp-2010.mtx,v4,openmp,2,0.067258
./data/dblp-2010.mtx,v3,openmp,4,0.037293
./data/dblp-2010.mtx,v4,openmp,4,0.041299
./data/NACA0015.mtx,v3,openmp,2,0.189234
./data/NACA0015.mtx,v4,openmp,2,0.285452
./data/NACA0015.mtx,v3,openmp,4,0.110878
./data/NACA0015.mtx,v4,openmp,4,0.174857
./data/belgium_osm.mtx,v3,openmp,2,0.044767
./data/belgium_osm.mtx,v4,openmp,2,0.064789
./data/belgium_osm.mtx,v3,openmp,4,0.040938
./data/belgium_osm.mtx,v4,openmp,4,0.049822
./data/com-Youtube.mtx,v3,openmp,2,3.423430
./data/com-Youtube.mtx,v4,openmp,2,1.965589
./data/com-Youtube.mtx,v3,openmp,4,1.714958
./data/com-Youtube.mtx,v4,openmp,4,0.987863
./data/mycielskian13.mtx,v3,openmp,2,1.161451
./data/mycielskian13.mtx,v4,openmp,2,0.552302
./data/mycielskian13.mtx,v3,openmp,4,0.580399
./data/mycielskian13.mtx,v4,openmp,4,0.275087
./data/dblp-2010.mtx,v3,openmp,2,0.061439
./data/dblp-2010.mtx,v4,openmp,2,0.073862
./data/dblp-2010.mtx,v3,openmp,4,0.037101
./data/dblp-2010.mtx,v4,openmp,4,0.041510
./data/NACA0015.mtx,v3,openmp,2,0.194070
./data/NACA0015.mtx,v4,openmp,2,0.286741
./data/NACA0015.mtx,v3,openmp,4,0.112621
./data/NACA0015.mtx,v4,openmp,4,0.171433
./data/belgium_osm.mtx,v3,openmp,2,0.044419
./data/belgium_osm.mtx,v4,openmp,2,0.065280
./data/belgium_osm.mtx,v3,openmp,4,0.040896
./data/belgium_osm.mtx,v4,openmp,4,0.049604
./data/com-Youtube.mtx,v3,openmp,2,3.611097
./data/com-Youtube.mtx,v4,openmp,2,1.989150
./data/com-Youtube.mtx,v3,openmp,4,1.716011
./data/com-Youtube.mtx,v4,openmp,4,0.983881
./data/mycielskian13.mtx,v3,openmp,2,1.157970
./data/mycielskian13.mtx,v4,openmp,2,0.540278
./data/mycielskian13.mtx,v3,openmp,4,0.582827
./data/mycielskian13.mtx,v4,openmp,4,0.273441
./data/dblp-2010.mtx,v3,openmp,2,0.061700
./data/dblp-2010.mtx,v4,openmp,2,0.066315
./data/dblp-2010.mtx,v3,openmp,4,0.037374
./data/dblp-2010.mtx,v4,openmp,4,0.042069
./data/NACA0015.mtx,v3,openmp,2,0.193974
./data/NACA0015.mtx,v4,openmp,2,0.284781
./data/NACA0015.mtx,v3,openmp,4,0.113072
./data/NACA0015.mtx,v4,openmp,4,0.169843
